"","Country Name","Country Code","Series Name","Series Code","Year","Value"
"188","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2012 [YR2012]",21169458
"189","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2013 [YR2013]",20585000
"190","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2014 [YR2014]",20778000
"191","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2015 [YR2015]",20970000
"192","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2016 [YR2016]",21209000
"193","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2017 [YR2017]",21444000
"194","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2018 [YR2018]",21670000
"195","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2019 [YR2019]",21803000
"196","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2020 [YR2020]",21919000
"197","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2021 [YR2021]",22156000
"198","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2022 [YR2022]",22181000
"199","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2023 [YR2023]",22037000
